Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.19     0.00     1279     0.00     0.00  YAML::Stream::GetNextByte() const
  0.00      2.19     0.00     1279     0.00     0.00  YAML::Stream::StreamInUtf8() const
  0.00      2.19     0.00     1279     0.00     0.00  YAML::Stream::_ReadAheadTo(unsigned long) const
  0.00      2.19     0.00     1278     0.00     0.00  YAML::Stream::AdvanceCurrent()
  0.00      2.19     0.00     1278     0.00     0.00  YAML::Stream::get()
  0.00      2.19     0.00     1182     0.00     0.00  std::_Function_handler<void (bool), Frame::split()::{lambda(bool)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      2.19     0.00     1140     0.00     0.00  std::_Function_handler<void (bool), Frame::split()::{lambda(bool)#2}>::_M_invoke(std::_Any_data const&, bool&&)
  0.00      2.19     0.00     1015     0.00     0.00  YAML::Stream::eat(int)
  0.00      2.19     0.00      791     0.00     0.00  YAML::Scanner::EnsureTokensInQueue()
  0.00      2.19     0.00      759     0.00     0.00  void std::vector<std::pair<double, cv::Point3_<double> >, std::allocator<std::pair<double, cv::Point3_<double> > > >::_M_realloc_insert<std::pair<double, cv::Point3_<double> > const&>(__gnu_cxx::__normal_iterator<std::pair<double, cv::Point3_<double> >*, std::vector<std::pair<double, cv::Point3_<double> >, std::allocator<std::pair<double, cv::Point3_<double> > > > >, std::pair<double, cv::Point3_<double> > const&)
  0.00      2.19     0.00      660     0.00     0.00  processImage(cv::Mat const&, BaseConfig const&)
  0.00      2.19     0.00      640     0.00     0.00  interpolateSlices(cv::Mat const&, cv::Mat const&, std::vector<cv::Mat, std::allocator<cv::Mat> >&, int)
  0.00      2.19     0.00      396     0.00     0.00  YAML::Scanner::peek()
  0.00      2.19     0.00      394     0.00     0.02  Frame::split()
  0.00      2.19     0.00      394     0.00     0.02  Spheroid::getSplitCells(std::vector<cv::Mat, std::allocator<cv::Mat> > const&) const
  0.00      2.19     0.00      394     0.00     0.00  std::_Function_handler<void (bool), Frame::split()::{lambda(bool)#1}>::_M_invoke(std::_Any_data const&, bool&&)
  0.00      2.19     0.00      393     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      2.19     0.00      262     0.00     0.00  YAML::Scanner::empty()
  0.00      2.19     0.00      253     0.00     0.00  Spheroid::performPCA(std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > > const&, std::vector<cv::Mat, std::allocator<cv::Mat> >&) const
  0.00      2.19     0.00      253     0.00     0.00  Spheroid::checkConstraints() const
  0.00      2.19     0.00      184     0.00     0.00  YAML::Scanner::IsWhitespaceToBeEaten(char)
  0.00      2.19     0.00      180     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      2.19     0.00      137     0.00     0.00  frame_dummy
  0.00      2.19     0.00      133     0.00     0.00  YAML::Scanner::pop()
  0.00      2.19     0.00      118     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      2.19     0.00      118     0.00     0.00  std::vector<YAML::RegEx, std::allocator<YAML::RegEx> >::vector(std::vector<YAML::RegEx, std::allocator<YAML::RegEx> > const&)
  0.00      2.19     0.00       96     0.00     0.00  YAML::detail::node::equals(char const*, std::shared_ptr<YAML::detail::memory_holder>)
  0.00      2.19     0.00       88     0.00     0.00  YAML::Scanner::ScanNextToken()
  0.00      2.19     0.00       87     0.00     0.00  YAML::Scanner::PopIndentToHere()
  0.00      2.19     0.00       87     0.00     0.00  YAML::Scanner::ScanToNextToken()
  0.00      2.19     0.00       86     0.00     0.00  YAML::Scanner::GetValueRegex() const
  0.00      2.19     0.00       82     0.00     0.00  std::vector<YAML::RegEx, std::allocator<YAML::RegEx> >::~vector()
  0.00      2.19     0.00       63     0.00     0.00  YAML::NodeBuilder::RegisterAnchor(unsigned long, YAML::detail::node&)
  0.00      2.19     0.00       63     0.00     0.00  YAML::NodeBuilder::Pop()
  0.00      2.19     0.00       63     0.00     0.00  YAML::NodeBuilder::Push(YAML::Mark const&, unsigned long)
  0.00      2.19     0.00       63     0.00     0.00  YAML::NodeBuilder::Push(YAML::detail::node&)
  0.00      2.19     0.00       63     0.00     0.00  YAML::SingleDocParser::HandleNode(YAML::EventHandler&)
  0.00      2.19     0.00       63     0.00     0.00  YAML::SingleDocParser::ParseProperties(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned long&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      2.19     0.00       63     0.00     0.00  YAML::detail::memory::create_node()
  0.00      2.19     0.00       63     0.00     0.00  YAML::detail::node_data::mark_defined()
  0.00      2.19     0.00       63     0.00     0.00  YAML::detail::node_data::set_tag(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.19     0.00       63     0.00     0.00  YAML::detail::node_data::set_mark(YAML::Mark const&)
  0.00      2.19     0.00       63     0.00     0.00  YAML::detail::node_data::node_data()
  0.00      2.19     0.00       63     0.00     0.00  YAML::Scanner::mark() const
  0.00      2.19     0.00       63     0.00     0.00  std::_Sp_counted_ptr<YAML::detail::node*, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      2.19     0.00       63     0.00     0.00  std::_Sp_counted_ptr<YAML::detail::node*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      2.19     0.00       63     0.00     0.00  std::_Sp_counted_ptr<YAML::detail::node_ref*, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      2.19     0.00       63     0.00     0.00  std::_Sp_counted_ptr<YAML::detail::node_ref*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      2.19     0.00       63     0.00     0.00  std::_Sp_counted_ptr<YAML::detail::node_data*, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      2.19     0.00       63     0.00     0.00  std::_Sp_counted_ptr<YAML::detail::node_data*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      2.19     0.00       62     0.00     0.00  YAML::detail::node::mark_defined()
  0.00      2.19     0.00       60     0.00     0.00  std::filesystem::__cxx11::path::~path()
  0.00      2.19     0.00       60     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector()
  0.00      2.19     0.00       55     0.00     0.00  YAML::ScanScalar[abi:cxx11](YAML::Stream&, YAML::ScanScalarParams&)
  0.00      2.19     0.00       55     0.00     0.00  YAML::NodeBuilder::OnScalar(YAML::Mark const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.19     0.00       55     0.00     0.00  YAML::IsNullString(char const*, unsigned long)
  0.00      2.19     0.00       55     0.00     0.00  YAML::Exp::PlainScalar()
  0.00      2.19     0.00       55     0.00     0.00  YAML::detail::node_data::set_scalar(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.19     0.00       55     0.00     0.00  YAML::Scanner::ScanPlainScalar()
  0.00      2.19     0.00       55     0.00     0.00  YAML::Scanner::InsertPotentialSimpleKey()
  0.00      2.19     0.00       55     0.00     0.00  YAML::Scanner::GetTopIndent() const
  0.00      2.19     0.00       55     0.00     0.00  YAML::Scanner::CanInsertPotentialSimpleKey() const
  0.00      2.19     0.00       46     0.00     0.00  YAML::Scanner::InvalidateSimpleKey()
  0.00      2.19     0.00       45     0.00     0.00  void std::vector<YAML::RegEx, std::allocator<YAML::RegEx> >::_M_realloc_insert<YAML::RegEx const&>(__gnu_cxx::__normal_iterator<YAML::RegEx*, std::vector<YAML::RegEx, std::allocator<YAML::RegEx> > >, YAML::RegEx const&)
  0.00      2.19     0.00       40     0.00     0.00  std::filesystem::__cxx11::path::path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::filesystem::__cxx11::path>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::filesystem::__cxx11::path::format)
